Material,Use,Su,Sy,E,G,mu,Ro
ANSI Aluminum Alloy 710.0 Cast (F or T5),No,221,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 712.0 Cast (F or T5),No,234,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 713.0 Cast (F or T5),No,221,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 771.0 Cast (T5),No,290,262,73000,26000,0.33,2700
ANSI Aluminum Alloy 771.0 Cast (T51),No,221,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 771.0 Cast (T52),No,248,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 771.0 Cast (T53),No,248,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 771.0 Cast (T6),No,290,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 771.0 Cast (T71),No,331,310,73000,26000,0.33,2700
ANSI Aluminum Alloy 852.0 Cast (T5),No,165,124,73000,26000,0.33,2700
ANSI Aluminum Alloy 1060-O Wrought,No,69,28,73000,26000,0.33,2700
ANSI Aluminum Alloy 1060-H12 Wrought,No,83,76,73000,26000,0.33,2700
ANSI Aluminum Alloy 1060-H14 Wrought,No,97,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 1060-H16 Wrought,No,110,103,73000,26000,0.33,2700
ANSI Aluminum Alloy 1060-H18 Wrought,No,131,124,73000,26000,0.33,2700
ANSI Aluminum Alloy 1100-O Wrought,No,90,34,73000,26000,0.33,2700
ANSI Aluminum Alloy 1100-H12 Wrought,No,110,103,73000,26000,0.33,2700
ANSI Aluminum Alloy 1100-H14 Wrought,No,124,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 1100-H16 Wrought,No,145,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 1100-H18 Wrought,No,165,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 1350-O Wrought,No,83,28,73000,26000,0.33,2700
ANSI Aluminum Alloy 1350-H12 Wrought,No,97,83,73000,26000,0.33,2700
ANSI Aluminum Alloy 1350-H14 Wrought,No,110,97,73000,26000,0.33,2700
ANSI Aluminum Alloy 1350-H16 Wrought,No,124,110,73000,26000,0.33,2700
ANSI Aluminum Alloy 1350-H19 Wrought,No,186,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 2011-T3 Wrought,No,379,296,73000,26000,0.33,2700
ANSI Aluminum Alloy 2011-T8 Wrought,No,407,310,73000,26000,0.33,2700
ANSI Aluminum Alloy 2014-O Wrought,No,186,97,73000,26000,0.33,2700
ANSI Aluminum Alloy 2014-T4 Wrought,No,427,290,73000,26000,0.33,2700
ANSI Aluminum Alloy 2014-T451 Wrought,No,427,290,73000,26000,0.33,2700
ANSI Aluminum Alloy 2014-T6 Wrought,No,483,414,73000,26000,0.33,2700
ANSI Aluminum Alloy 2014-T651 Wrought,No,483,414,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2014-O Wrought,No,172,69,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2014-T3 Wrought,No,434,276,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2014-T4 Wrought,No,421,255,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2014-T451 Wrought,No,421,255,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2014-T6 Wrought,No,469,414,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2014-T651 Wrought,No,469,414,73000,26000,0.33,2700
ANSI Aluminum Alloy 2017-O Wrought,No,179,69,73000,26000,0.33,2700
ANSI Aluminum Alloy 2017-T4 Wrought,No,427,276,73000,26000,0.33,2700
ANSI Aluminum Alloy 2017-T451 Wrought,No,427,276,73000,26000,0.33,2700
ANSI Aluminum Alloy 2018-T61 Wrought,No,421,317,73000,26000,0.33,2700
ANSI Aluminum Alloy 2024-O Wrought,No,186,76,73000,26000,0.33,2700
ANSI Aluminum Alloy 2024-T3 Wrought,No,483,345,73000,26000,0.33,2700
ANSI Aluminum Alloy 2024-T351 Wrought,No,469,324,73000,26000,0.33,2700
ANSI Aluminum Alloy 2024-T4 Wrought,No,469,324,73000,26000,0.33,2700
ANSI Aluminum Alloy 2024-T361 Wrought,No,496,393,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-O Wrought,No,179,76,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-T3 Wrought,No,448,310,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-T351 Wrought,No,441,290,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-T4 Wrought,No,441,290,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 202024-T361 Wrought,No,462,365,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-T81 Wrought,No,448,414,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-T851 Wrought,No,448,414,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 2024-T861 Wrought,No,483,455,73000,26000,0.33,2700
ANSI Aluminum Alloy 2025-T6 Wrought,No,400,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 2036-T4 Wrought,No,338,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 2117-T4 Wrought,No,296,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 2218-T72 Wrought,No,331,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-O Wrought,No,172,76,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T42 Wrought,No,359,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T31 Wrought,No,359,248,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T351 Wrought,No,359,248,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T37 Wrought,No,393,317,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T62 Wrought,No,414,290,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T81 Wrought,No,455,352,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T851 Wrought,No,455,352,73000,26000,0.33,2700
ANSI Aluminum Alloy 2219-T87 Wrought,No,476,393,73000,26000,0.33,2700
ANSI Aluminum Alloy 3003-O Wrought,No,110,41,73000,26000,0.33,2700
ANSI Aluminum Alloy 3003-H12 Wrought,No,131,124,73000,26000,0.33,2700
ANSI Aluminum Alloy 3003-H14 Wrought,No,152,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 3003-H16 Wrought,No,179,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 3003-H18 Wrought,No,200,186,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3003-O Wrought,No,110,41,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3003-H12 Wrought,No,131,124,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3003-H14 Wrought,No,152,145,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3003-H16 Wrought,No,179,172,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3003-H18 Wrought,No,200,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 3004-O Wrought,No,179,69,73000,26000,0.33,2700
ANSI Aluminum Alloy 3004-H32 Wrought,No,214,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 3004-H34 Wrought,No,241,200,73000,26000,0.33,2700
ANSI Aluminum Alloy 3004-H36 Wrought,No,262,228,73000,26000,0.33,2700
ANSI Aluminum Alloy 3004-H38 Wrought,No,283,248,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3004-O Wrought,No,179,69,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3004-H32 Wrought,No,214,172,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3004-H34 Wrought,No,241,200,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3004-H36 Wrought,No,262,228,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 3004-H38 Wrought,No,283,248,73000,26000,0.33,2700
ANSI Aluminum Alloy 3105-O Wrought,No,117,55,73000,26000,0.33,2700
ANSI Aluminum Alloy 3105-H12 Wrought,No,152,131,73000,26000,0.33,2700
ANSI Aluminum Alloy 3105-H14 Wrought,No,172,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 3105-H16 Wrought,No,193,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 3105-H18 Wrought,No,214,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 3105-H25 Wrought,No,179,159,73000,26000,0.33,2700
ANSI Aluminum Alloy 4032-T6 Wrought,No,379,317,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-O Wrought,No,124,41,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H12 Wrought,No,138,131,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H14 Wrought,No,159,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H16 Wrought,No,179,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H18 Wrought,No,200,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H32 Wrought,No,138,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H34 Wrought,No,159,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H36 Wrought,No,179,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 5005-H38 Wrought,No,200,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 5050-O Wrought,No,145,55,73000,26000,0.33,2700
ANSI Aluminum Alloy 5050-H32 Wrought,No,172,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 5050-H34 Wrought,No,193,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 5050-H36 Wrought,No,207,179,73000,26000,0.33,2700
ANSI Aluminum Alloy 5050-H38 Wrought,No,221,200,73000,26000,0.33,2700
ANSI Aluminum Alloy 5052-O Wrought,No,193,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 5052-H32 Wrought,No,228,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 5052-H34 Wrought,No,262,214,73000,26000,0.33,2700
ANSI Aluminum Alloy 5052-H36 Wrought,No,276,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 5052-H38 Wrought,No,290,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 5056-O Wrought,No,290,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 5056-H18 Wrought,No,434,407,73000,26000,0.33,2700
ANSI Aluminum Alloy 5056-H38 Wrought,No,414,345,73000,26000,0.33,2700
ANSI Aluminum Alloy 5083-O Wrought,No,290,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 5083-H116 Wrought,No,317,228,73000,26000,0.33,2700
ANSI Aluminum Alloy 5083-H321 Wrought,No,317,228,73000,26000,0.33,2700
ANSI Aluminum Alloy 5086-O Wrought,No,262,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5086-H32 Wrought,No,290,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 5086-H34 Wrought,No,324,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 5086-H112 Wrought,No,269,131,73000,26000,0.33,2700
ANSI Aluminum Alloy 5086-H116 Wrought,No,290,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 5154-O Wrought,No,241,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5154-H32 Wrought,No,269,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 5154-H34 Wrought,No,290,228,73000,26000,0.33,2700
ANSI Aluminum Alloy 5154-H36 Wrought,No,310,248,73000,26000,0.33,2700
ANSI Aluminum Alloy 5154-H38 Wrought,No,331,269,73000,26000,0.33,2700
ANSI Aluminum Alloy 5154-H112 Wrought,No,241,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5252-H25 Wrought,No,234,172,73000,26000,0.33,2700
ANSI Aluminum Alloy 5252-H28 Wrought,No,283,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 5252-H38 Wrought,No,283,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 5254-O Wrought,No,241,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5254-H32 Wrought,No,269,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 5254-H34 Wrought,No,290,228,73000,26000,0.33,2700
ANSI Aluminum Alloy 5254-H36 Wrought,No,310,248,73000,26000,0.33,2700
ANSI Aluminum Alloy 5254-H38 Wrought,No,331,269,73000,26000,0.33,2700
ANSI Aluminum Alloy 5254-H112 Wrought,No,241,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5454-O Wrought,No,248,117,73000,26000,0.33,2700
ANSI Aluminum Alloy 5454-H32 Wrought,No,276,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 5454-H34 Wrought,No,303,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 5454-H111 Wrought,No,262,179,73000,26000,0.33,2700
ANSI Aluminum Alloy 5454-H112 Wrought,No,248,124,73000,26000,0.33,2700
ANSI Aluminum Alloy 5456-O Wrought,No,310,159,73000,26000,0.33,2700
ANSI Aluminum Alloy 5456-H112 Wrought,No,310,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 5456-H116 Wrought,No,352,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 5456-H321 Wrought,No,352,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 5457-O Wrought,No,131,48,73000,26000,0.33,2700
ANSI Aluminum Alloy 5457-H25 Wrought,No,179,159,73000,26000,0.33,2700
ANSI Aluminum Alloy 5457-H28 Wrought,No,207,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 5457-H38 Wrought,No,207,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 5652-O Wrought,No,193,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 5652-H32 Wrought,No,228,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 5652-H34 Wrought,No,262,214,73000,26000,0.33,2700
ANSI Aluminum Alloy 5652-H36 Wrought,No,276,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 5652-H38 Wrought,No,290,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 5657-H25 Wrought,No,159,138,73000,26000,0.33,2700
ANSI Aluminum Alloy 5657-H28 Wrought,No,193,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 5657-H38 Wrought,No,193,165,73000,26000,0.33,2700
ANSI Aluminum Alloy 6061-O Wrought,No,124,55,73000,26000,0.33,2700
ANSI Aluminum Alloy 6061-T4 Wrought,No,241,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 6061-T451 Wrought,No,241,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 6061-T6 Wrought,No,310,276,73000,26000,0.33,2700
ANSI Aluminum Alloy 6061-T651 Wrought,No,310,276,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 6061-O Wrought,No,117,48,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 6061-T4 Wrought,No,228,131,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 6061-T451 Wrought,No,228,131,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 6061-T6 Wrought,No,290,255,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 6061-T651 Wrought,No,290,255,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-O Wrought,No,90,48,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T1 Wrought,No,152,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T4 Wrought,No,172,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T5 Wrought,No,186,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T6 Wrought,No,241,214,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T83 Wrought,No,255,241,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T831 Wrought,No,207,186,73000,26000,0.33,2700
ANSI Aluminum Alloy 6063-T832 Wrought,No,290,269,73000,26000,0.33,2700
ANSI Aluminum Alloy 6066-O Wrought,No,152,83,73000,26000,0.33,2700
ANSI Aluminum Alloy 6066-T4 Wrought,No,359,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 6066-T451 Wrought,No,359,207,73000,26000,0.33,2700
ANSI Aluminum Alloy 6066-T6 Wrought,No,393,359,73000,26000,0.33,2700
ANSI Aluminum Alloy 6066-T651 Wrought,No,393,359,73000,26000,0.33,2700
ANSI Aluminum Alloy 6070-T6 Wrought,No,379,352,73000,26000,0.33,2700
ANSI Aluminum Alloy 6101-H111 Wrought,No,97,76,73000,26000,0.33,2700
ANSI Aluminum Alloy 6101-T6 Wrought,No,221,193,73000,26000,0.33,2700
ANSI Aluminum Alloy 6262-T9 Wrought,No,400,379,73000,26000,0.33,2700
ANSI Aluminum Alloy 6351-T4 Wrought,No,248,152,73000,26000,0.33,2700
ANSI Aluminum Alloy 6351-T6 Wrought,No,310,283,73000,26000,0.33,2700
ANSI Aluminum Alloy 6463-T1 Wrought,No,152,90,73000,26000,0.33,2700
ANSI Aluminum Alloy 6463-T5 Wrought,No,186,145,73000,26000,0.33,2700
ANSI Aluminum Alloy 6463-T6 Wrought,No,241,214,73000,26000,0.33,2700
ANSI Aluminum Alloy 7049-T73 Wrought,No,517,448,73000,26000,0.33,2700
ANSI Aluminum Alloy 7049-T7352 Wrought,No,517,434,73000,26000,0.33,2700
ANSI Aluminum Alloy 7050-T73510 Wrought,No,496,434,73000,26000,0.33,2700
ANSI Aluminum Alloy 7050-T7451f Wrought,No,524,469,73000,26000,0.33,2700
ANSI Aluminum Alloy 7050-T7651 Wrought,No,552,490,73000,26000,0.33,2700
ANSI Aluminum Alloy 7075-O Wrought,No,228,103,73000,26000,0.33,2700
ANSI Aluminum Alloy 7075-T6 Wrought,No,572,503,73000,26000,0.33,2700
ANSI Aluminum Alloy 7075-T651 Wrought,No,572,503,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 7075-O Wrought,No,221,97,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 7075-T6 Wrought,No,524,462,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 7075-T651 Wrought,No,524,462,73000,26000,0.33,2700
ANSI Aluminum Alloy 7178-O Wrought,No,228,103,73000,26000,0.33,2700
ANSI Aluminum Alloy 7178-T6 Wrought,No,607,538,73000,26000,0.33,2700
ANSI Aluminum Alloy 7178-T651 Wrought,No,607,538,73000,26000,0.33,2700
ANSI Aluminum Alloy 7178-T76 Wrought,No,572,503,73000,26000,0.33,2700
ANSI Aluminum Alloy 7178-T7651 Wrought,No,572,503,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 7178-O Wrought,No,221,97,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 7178-T6 Wrought,No,558,490,73000,26000,0.33,2700
ANSI Aluminum Alloy Alclad 7178-T651 Wrought,No,558,490,73000,26000,0.33,2700
ANSI Aluminum Alloy 8176-H24 Wrought,No,117,97,73000,26000,0.33,2700
ANSI Magnesium Alloy AM100A-T61 sand casting,No,276,152,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ63A-T6 sand casting,No,276,97,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ81A-T4 sand casting,No,276,83,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ91C-T6 sand casting,No,276,145,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ91E-T6 sand casting,No,276,145,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ92A-T6 sand casting,No,276,152,73000,26000,0.33,1750
ANSI Magnesium Alloy EZ33A-T5 sand casting,No,159,110,73000,26000,0.33,1750
ANSI Magnesium Alloy HK31A-T6 sand casting,No,221,103,73000,26000,0.33,1750
ANSI Magnesium Alloy HZ32A-T6 sand casting,No,186,90,73000,26000,0.33,1750
ANSI Magnesium Alloy K1A-F sand casting,No,179,55,73000,26000,0.33,1750
ANSI Magnesium Alloy QE22A-T6 sand casting,No,262,193,73000,26000,0.33,1750
ANSI Magnesium Alloy QH21A-T6 sand casting,No,276,207,73000,26000,0.33,1750
ANSI Magnesium Alloy ZE41A-T5 sand casting,No,207,138,73000,26000,0.33,1750
ANSI Magnesium Alloy ZE63A-T6 sand casting,No,303,193,73000,26000,0.33,1750
ANSI Magnesium Alloy ZH62A-T5 sand casting,No,241,152,73000,26000,0.33,1750
ANSI Magnesium Alloy ZK51A-T5 sand casting,No,207,138,73000,26000,0.33,1750
ANSI Magnesium Alloy ZK61A-T6 sand casting,No,310,193,73000,26000,0.33,1750
ANSI Magnesium Alloy WE54A-F sand casting,No,276,200,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ91A-F pressure die casting,No,234,159,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ91B-FAZ91B-F pressure die casting,No,234,159,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ91D-F pressure die casting,No,234,159,73000,26000,0.33,1750
ANSI Magnesium Alloy AM60A-F pressure die casting,No,221,131,73000,26000,0.33,1750
ANSI Magnesium Alloy AM60B-F pressure die casting,No,221,131,73000,26000,0.33,1750
ANSI Magnesium Alloy AS41A-F pressure die casting,No,214,138,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ10A-F As extruded,No,241,145,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ31B-F As extruded,No,262,200,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ31C-F As extruded,No,262,200,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ61A-F As extruded,No,310,228,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ80A-T5 As extruded,No,379,276,73000,26000,0.33,1750
ANSI Magnesium Alloy HM31A-F As extruded,No,290,228,73000,26000,0.33,1750
ANSI Magnesium Alloy M1A-F As extruded,No,255,179,73000,26000,0.33,1750
ANSI Magnesium Alloy ZK40A-T5 As extruded,No,276,255,73000,26000,0.33,1750
ANSI Magnesium Alloy ZK60A-F As extruded,No,352,283,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ31B-H24,No,290,221,73000,26000,0.33,1750
ANSI Magnesium Alloy AZ31C-H24,No,290,221,73000,26000,0.33,1750
ANSI Magnesium Alloy HK31A-H24,No,262,207,73000,26000,0.33,1750
ANSI Magnesium Alloy HM21A-T8,No,234,172,73000,26000,0.33,1750
ISO EN 11SMn30,Yes,380,230,206000,80000,0.3,7860
ISO EN 10S2O,Yes,360,225,206000,80000,0.3,7860
ISO EN 35S20,Yes,600,380,206000,80000,0.3,7860
ISO EN FeP01,No,270,280,206000,80000,0.3,7860
ISO EN FeP03,No,270,240,206000,80000,0.3,7860
ISO EN FeP04,No,270,210,206000,80000,0.3,7860
ISO EN SPT360,Yes,360,225,206000,80000,0.3,7860
ISO EN P235GH,Yes,360,225,206000,80000,0.3,7860
ISO EN S235JRG1,Yes,340,225,206000,80000,0.3,7860
ISO EN S235JRH,Yes,340,225,206000,80000,0.3,7860
ISO EN S235JRG2,Yes,340,225,206000,80000,0.3,7860
ISO EN S235JO,Yes,340,225,206000,80000,0.3,7860
ISO EN P265GH,Yes,410,225,206000,80000,0.3,7860
ISO EN S275JR,Yes,410,265,206000,80000,0.3,7860
ISO EN S275J2G3,Yes,410,265,206000,80000,0.3,7860
ISO EN S275J2HG3,Yes,410,265,206000,80000,0.3,7860
ISO EN S355J2G3,Yes,490,345,206000,80000,0.3,7860
ISO EN S355J2H,Yes,490,345,206000,80000,0.3,7860
ISO EN S355JO,Yes,490,345,206000,80000,0.3,7860
ISO EN S355JOH,Yes,490,345,206000,80000,0.3,7860
ISO EN SPT410,Yes,410,255,206000,80000,0.3,7860
ISO EN SPT510,Yes,510,345,206000,80000,0.3,7860
ISO EN E295,Yes,470,285,206000,80000,0.3,7860
ISO EN E355,Yes,570,325,206000,80000,0.3,7860
ISO EN E360,No,690,355,206000,80000,0.3,7860
ISO EN C10E,Yes,420,300,206000,80000,0.3,7860
ISO EN C15E,Yes,440,340,206000,80000,0.3,7860
ISO EN C22,Yes,470,290,206000,80000,0.3,7860
ISO EN C25,Yes,500,320,206000,80000,0.3,7860
ISO EN C30,Yes,550,350,206000,80000,0.3,7860
ISO EN C35,Yes,600,380,206000,80000,0.3,7860
ISO EN C40,Yes,630,400,206000,80000,0.3,7860
ISO EN C45 heat treated,Yes,650,430,206000,80000,0.3,7860
ISO EN C50 heat treated,No,700,460,206000,80000,0.3,7860
ISO EN C55 heat treated,No,750,490,206000,80000,0.3,7860
ISO EN C60 heat treated,No,800,520,206000,80000,0.3,7860
ISO EN P295GH,Yes,460,290,206000,80000,0.3,7860
ISO EN 28Mn6 heat treated,No,700,490,206000,80000,0.3,7860
ISO EN 17Cr3,Yes,580,340,206000,80000,0.3,7860
ISO EN 34Cr4 heat treated,No,800,590,206000,80000,0.3,7860
ISO EN 37Cr4 heat treated,No,850,630,206000,80000,0.3,7860
ISO EN 41Cr4 heat treated,No,900,660,206000,80000,0.3,7860
ISO EN 16MnCr5 case-hardened,No,900,680,206000,80000,0.3,7860
ISO EN 20MnCr5 case-hardened,No,980,680,206000,80000,0.3,7860
ISO EN 16Mo3,Yes,440,270,206000,80000,0.3,7860
ISO EN 13CrMo4,Yes,450,295,206000,80000,0.3,7860
ISO EN 25CrMo4 heat treated,No,800,600,206000,80000,0.3,7860
ISO EN 34CrMo4 heat treated,No,900,650,206000,80000,0.3,7860
ISO EN 42CrMo4 heat treated,No,1000,770,206000,80000,0.3,7860
ISO EN S355J2G1W,Yes,490,345,206000,80000,0.3,7860
ISO EN S355J0WP,Yes,490,345,206000,80000,0.3,7860
ISO EN 51CrV4 case-hardened,No,900,700,206000,80000,0.3,7860
ISO EN 10CrMo9-10,Yes,480,300,206000,80000,0.3,7860
ISO EN 11CrMo9-10,Yes,520,310,206000,80000,0.3,7860
ISO EN 16NiCr4 case-hardened,No,835,590,206000,80000,0.3,7860
ISO EN 12Ni14,Yes,490,355,206000,80000,0.3,7860
ISO EN 34CrNiMo6 heat treated,No,1100,900,206000,80000,0.3,7860
ISO EN 30CrNiMo8 heat treated,No,1250,1050,206000,80000,0.3,7860
ISO EN 12Ni19,Yes,530,390,206000,80000,0.3,7860
ISO EN X8Ni9,No,680,585,206000,80000,0.3,7860
ISO EN X6Cr13,Yes,400,230,206000,80000,0.3,7860
ISO EN X12Cr13,Yes,650,450,206000,80000,0.3,7860
ISO EN X20Cr13,No,700,500,206000,80000,0.3,7860
ISO EN X30Cr13,No,850,650,206000,80000,0.3,7860
ISO EN X6Cr17,Yes,400,240,206000,80000,0.3,7860
ISO EN X17CrNi16-2,No,800,600,206000,80000,0.3,7860
ISO EN X5CrNi18-10,No,500,190,206000,80000,0.3,7860
ISO EN X8CrNiS18-9,No,500,190,206000,80000,0.3,7860
ISO EN X6CrNiTi18-10,No,500,190,206000,80000,0.3,7860
ISO EN X2CrNi19-11,No,460,180,206000,80000,0.3,7860
ISO EN X2CrNiN18-10,Yes,550,270,206000,80000,0.3,7860
ISO EN X5CrNiMo17-12-2,No,500,200,206000,80000,0.3,7860
ISO EN X6CrNiMoTi17-12-2,No,500,200,206000,80000,0.3,7860
ISO EN X2CrNiMo17-12-2,No,500,200,206000,80000,0.3,7860
ISO EN X2CrNiMo18-14-3,No,500,200,206000,80000,0.3,7860
ISO EN X3CrNiMo17-13-3,No,500,200,206000,80000,0.3,7860
ISO EN X2CrNiMoN17-11-2,Yes,580,280,206000,80000,0.3,7860
ISO EN X2CrNiMoN17-13-3,Yes,580,280,206000,80000,0.3,7860
ISO EN X2CrNiMoN22-5-3,Yes,650,450,206000,80000,0.3,7860
ISO EN X12CrMnNiN18-9-5,Yes,680,320,206000,80000,0.3,7860
ISO Grey cast iron,No,150,150,85000,34000,0.25,7160
ISO Grey cast iron,No,200,200,85000,34000,0.25,7160
ISO Grey cast iron,No,250,250,85000,34000,0.25,7160
ISO Grey cast iron,No,300,300,85000,34000,0.25,7160
ISO Grey cast iron,No,350,350,85000,34000,0.25,7160
